INDICATOR,GEBIEDSTYPE,GEBIEDSCODE,DATE_FROM,DATE_TO,WAARDE
Trend GLG naar 2050,d_swf_welstandsgebieden,21,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,22,2020-01-01,,0
Trend GLG naar 2050,d_swf_welstandsgebieden,23,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,24,2020-01-01,,1
Trend GLG naar 2050,d_swf_welstandsgebieden,25,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,26,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,27,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,28,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,29,2020-01-01,,-1
Trend GLG naar 2050,d_swf_welstandsgebieden,30,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,2,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,3,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,4,2020-01-01,,-4
Trend GLG naar 2050,d_swf_welstandsgebieden,5,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,11,2020-01-01,,-10
Trend GLG naar 2050,d_swf_welstandsgebieden,12,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,6,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,7,2020-01-01,,-18
Trend GLG naar 2050,d_swf_welstandsgebieden,8,2020-01-01,,-7
Trend GLG naar 2050,d_swf_welstandsgebieden,9,2020-01-01,,-9
Trend GLG naar 2050,d_swf_welstandsgebieden,10,2020-01-01,,-3
Trend GLG naar 2050,d_swf_welstandsgebieden,18,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,19,2020-01-01,,-6
Trend GLG naar 2050,d_swf_welstandsgebieden,20,2020-01-01,,-11
Trend GLG naar 2050,d_swf_welstandsgebieden,61,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,16,2020-01-01,,-13
Trend GLG naar 2050,d_swf_welstandsgebieden,17,2020-01-01,,-12
Trend GLG naar 2050,d_swf_welstandsgebieden,49,2020-01-01,,-14
Trend GLG naar 2050,d_swf_welstandsgebieden,13,2020-01-01,,-5
Trend GLG naar 2050,d_swf_welstandsgebieden,14,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,15,2020-01-01,,-8
Trend GLG naar 2050,d_swf_welstandsgebieden,50,2020-01-01,,-15
Trend GLG naar 2050,d_swf_welstandsgebieden,42,2020-01-01,,-12
